"Txn Hash","Blockno","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x6f047fdcb49fb63e458188f0d95c9cf91a5b86f9f06e23a861104c0a956bc39a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00251066089382039, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6f047fdcb49fb63e458188f0d95c9cf91a5b86f9f06e23a861104c0a956bc39a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00251696274398863, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6f047fdcb49fb63e458188f0d95c9cf91a5b86f9f06e23a861104c0a956bc39a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00252328833884062, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6f047fdcb49fb63e458188f0d95c9cf91a5b86f9f06e23a861104c0a956bc39a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00252963779778614, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6f047fdcb49fb63e458188f0d95c9cf91a5b86f9f06e23a861104c0a956bc39a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0025360112409864, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6f047fdcb49fb63e458188f0d95c9cf91a5b86f9f06e23a861104c0a956bc39a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0025424087893598, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6f047fdcb49fb63e458188f0d95c9cf91a5b86f9f06e23a861104c0a956bc39a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00254883056458756, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6f047fdcb49fb63e458188f0d95c9cf91a5b86f9f06e23a861104c0a956bc39a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00255527668911959, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6f047fdcb49fb63e458188f0d95c9cf91a5b86f9f06e23a861104c0a956bc39a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00256174728618027, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xaeef9b526927c44e066b884e0af6829211395b1b898f71ba9dd9f79e734d50f9","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0025425278710795, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x875be964331f025329aa21710f1f07cfcd92baa01d64de8567bfd3ab23e12b19","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00254891779682867, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x7692ca726fdf79bed0585c7dfa0feb88ba4c57aa638075bad67a6e7142c5479a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00255533182967357, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xfd5619250a8504102fa6b9e5d49678f9772eeed81a07cf5e6058a152077e7d27","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00256177009100058, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x48644a51d485d0ce072ca7a3efbf9e90eea7e1992f65527e13b659a72cf5d7a5","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00256823270296089, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x2313fba1e61c934135ffc709a967c1fac82089a95afc76c6fadcf73662978e02","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0025877399049318, ETH, 417900, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xe9dd291de4a224471dce7b2e135d96d96d5e6a0cfb934cfce46889b4af67b289","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00260737105365768, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x8346600fd039059ddb0b62a1bc700096f543d72ca8172a2b62b1dd6069295662","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0026140405567672, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xaaffd57d51f63a8c2dbc99db46c6f5926260647cc56992a62ad8da87f3768b80","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00262073567006788, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x33549c113d77254213510523a02a6e763f540f9e61d91eb2aba2cf46708867af","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00259866823515294, ETH, 415404, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x50056d0f8e418fb924a55ebbac79cb29b8b96e5d2f11fa20422434792ae094b0","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00260775456143443, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xef22d411a1ec8eecc62f0b5c2dbb0c74af7e40727fbf748694f7298ca0674508","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00261439198367918, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x361a429459e1aadbf69c1a9ba75e2b01007f6b889248bbd436339dbc814c6d41","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0026210547664424, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xb84464a91254abb3dcfa7d75af9063d58934235dddaf4639f4f6c2c6a560bdd9","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00262774303905421, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf89438fd3a66c4312167c55b4679827bfd056151e4102e94b4ec01243f5512a2","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00132969430274724, ETH, 210000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x2b5d6b56a76b97191d6ed5bb786057d045c109c5957e3250d347125798f04b8f","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0013314101700951, ETH, 210000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xb710eeaefdf327b47b0b19b878fb5bda8716f18a568ee9095b51447111a4f77f","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00133312935921041, ETH, 210000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xa74bd1efa501e65859a7cb7662c6b45e7e5091f2f11d5758e96546c36a289382","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00264467861059938, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xcdd9b45c0c680ad186cbfcfc7f1a6fe0126c306436effc6aa327c56af5e3da34","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00266486594515803, ETH, 417900, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x377cd696356fc043fb58fa41d1a13859bc971912b07b0d079d322e35ca0feac9","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00265829695328582, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x26e5973395d5e84720fa10a2645864acce8ff314a7e531ea1f0ab43a65e9fb5b","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00269208367571635, ETH, 420000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xe8ff1de3d83b1f9b8e49d3445d0b8d7ee43cc09d371204dd480d303c74f5a787","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00126769616143775, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xedfe06979dfe08ee2f45c0416c26a7ae46531bee632081bb9477eba4f62c41f9","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00126924467739332, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x1a3e802c1b3bc6272229fe64a1e89b097a3ac52bca5bd8487a23b444bb76e3e9","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00127079603097294, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x30146b7d4d7ae331cf7ad895d1566ce53ea66da0acccc3726603e72bc9e3bed0","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00268186858360918, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf4cc260b67e5e78d0b607bb27ee8186aba8ca3d3bee014fb918f6bb1e18240da","16643907",1676582063,2023-02-16 21:14:23,Buy,0.001275633301435, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xd518b6223f87123ef53e24298d181688e178ae5c7f0c7ca3050428009b17f7f0","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00127719638033061, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x085c38c6aecc7a09dcf5a19eee5a8c171a46fe91e6738c411e0247b93b67d37e","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00127876233248962, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x62317d888a7d72b395b38a45f95478dce0fd21e6ab51f698a120c119f7f38f42","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00269869656101449, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xe5cf099a8eeea289e2342c962df97619b5aa2557fa929a753b329114c164d940","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00128364518020332, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x7bf0480d075e8d618a0bdd3dbceef1efca2352ce405e20a6837a608ae210c76b","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00128522300517504, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xce4f6bee2351acaf1f8b4b638c568f253cb39513f3778b35ce95d228a0dcbe50","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00128680373961071, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6026174f0a4452b43351b63dce342adf7947f07015977fc2faf4f4557ac031e1","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00128838739066621, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x177f1eb632a24d8ef65426478dd2add3d2e7ae119dce19774b45c8a5f4b5086c","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00271902868750265, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf392db19b57243246bc6549c6265ba8767701ce9c5490f747595d32d5b06cb2b","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00129332549588073, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xff4bb8107d4b5bb3d4316c67df7480620f4a96f1b69735a84514e7979f6b1a8c","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00129492119918836, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x4ef91d8524ffb719b54eff31bc3fdf17f894ed97704ba3d80c7c635a20e8876c","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00273283093284743, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x77c3628c3726781672ac395bd88c316fd77fe7a9e572f36496f02aa4a49246ec","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00129989693318256, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xeca7bb4cfd5b9dfccf5f6f9be8e685a4dc53404104e6b6348e479ff7fe69ba2f","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00274334191419098, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x0abb467fc830901a69775e4c70945d20df478bf0dd8b070b8967354225cf06fb","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0013049013867852, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xe25467cf591cf9a1c61c0be374952d5ce36f0d6d9d20b9a5e6aebc4d230dbc0d","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00130651855728415, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x212fcf044307ee5faa91a2aeee47a80257ee531c71a70b604a14ad35c4acf10a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00130813873438861, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x27a96136388bd3a38bfd1751f958b6eb1921d74dbeb85c73be2d166ef19c7a0a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00276075242123425, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x8875096bff46df92777858811a22cf6994a1138a485ca5ed28542680a8ebc52b","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00131319088039841, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xe468b633f95ff33e49cd96d561f493df1761fca4384840e79238eb0e68156d21","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00251917762990523, ETH, 378000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xb974b0544371afb0d8e273902f1140c6cce4c154a177ee86286d039361cd138f","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00252518548321337, ETH, 378000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x60ca857ce938b8be3fbe418e46bcb17eb40372e115e7c90a6c1b8c6b72e2e94b","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00278466827418788, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xdfd7cc25663d2a9cca25ffd752090c0680dc9e8688cb6760af837a63940dbc64","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00279199256804924, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x06e2a1d74c553d99f5f31e2a8f215b05d73339a9c3f6f6b94dfa3e2507591ec7","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00279934578218753, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf7308f63ab6d7ef0d9f70c0f6847ab347869af2e8b9a6415a41e87ea60ec6486","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00255126561021777, ETH, 378000, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x40af83891dc395310d70142d2d38922d2de9a1256e58a188a42e814217228921","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00281346459693511, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf1e0d22befdc0780bc6527bc5375ca1aedd9cceb64ba3783708ac22baa3666e9","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00282090281308338, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x56dc2e7a43bbfd2bfb29deb6328d06cb01987d0bfc7a86574e9f7e8d5ade8b7f","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00282837055107516, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x4f3e2d4a0c6414caa810f2892cd232a286423aae8770d0ffbe22514d2ce4f3fa","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0028358679673053, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xd64923d25673c9f89885732528dd986a6638ecd667c20b02e4d26666c9d6bdaa","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00134895576963797, ETH, 197400, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf26fda6a8ddce24ae0f83e3d8bc9f56980650d349a0e05ba554086ca1b71ff8d","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00284697925510075, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xc52d448b3856750852cbb0200e0a76b94f6aeb3bb4720aab01df544f4ad3c547","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00285455079657968, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xd837c0a1b981de21125a0593c5b20119827e35e4ab9ec153755e86c77b1f6ff3","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00286215256784365, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x21a1e84c4652a7594e81c49f6d259d43ac3bc3d7999b7322fb9038e4284b7b35","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00286978472999191, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xc8665d2ce8f19c1b9aca328a5821ed97791ca625f0e81408bb047f3bf00b8549","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00287744744519814, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x3725455067bd40350f91710e856afa2b895172d6cf3c528328590474d54a9b84","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00288514087671905, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x5b52fd416281cc6d0eecb672f3d09badef05705e70bcb38be83304298320cf75","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00289286518890308, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x4f41adbb28a9cf300b70c28b6d185a4b661152e4cd8e04f09d3a77c0e60b61a8","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00290062054719914, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6948d7ce975e7c114326528bc0e7d26418f87e466c4a6a255789d9eec3f1b455","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00290840711816552, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x694f01491cbc540bbf7be69fb2c900da3aae6e1d52c2a70174941e012ce85a12","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00291622506947876, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x5ac487bc1c734312ba2178dbbed4f5f0dfc5bb3fc2d306cd8686dae253831ccf","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00292407456994274, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf7c559a1d8560aee7d97908ba6bdfb7f53e720a71fad8d137e06fa15b69af222","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00293195578949773, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf7c7610c5cf70a0dd113a224263262fd140f228d01b301656ed647ddd88bae30","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0029398688992296, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x1201fbe088f41f3fd3b504f94b572842cf08db3246e7ed2c565be6db8900c635","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00294781407137913, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf98c58678ded46aaff58f32adf4399f2e171202eb010ebb82bb799a0c3dc6685","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00295579147935132, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x64e985c2b9e3ea0f406f5b476116d37f534b589fbafe6b85de32aadb2371aecb","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00296380129772489, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x55571eca2a54fffc6fb82b151975c18382b93b9bb28b3e5a4a6c99d8fc75b91a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0029718437022618, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x88c83e1e7fca902262b7b7da7ad7dd8954aef124d933ea96950b9b976ca7ce4a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.0029799188699169, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xa9b98ed049d8cc3d147bef90bf2fa8e1f21b2e0061ac2a25d442d726b723f7e8","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00298802697884769, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xbb27855aa8e28e131cbfc2626d0bccac5918557044b0c5fcf6ef328a359110b8","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00299616820842403, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xd8708f37e684ab2ce62dd0fca6ed9c9b240b8028211f83929b39115a3cb3ff74","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00300434273923818, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x8ea4712ad8baf5ab364152d5dbd9f8865a9e3c103771a711585b7ccc08a41a97","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00301255075311473, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x2f5de7527bf8d4226e50323bb4667abadcba2a462b0a8d8a0c68701911fd7559","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00302079243312076, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x97b103a9a639d40d57b331fe47ee41124dd3a341da2ea56c99f23eb7bd9a1936","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00302906796357598, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x3aef226f81611cf5295dcf2b3db98349183beb942e25569beaa83ee2a65d12fd","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00303737753006309, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xa0d92d201e636e7daeb0367e9b43c7cbbb7f3cca0b461c968d6c290d0938373f","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00304572131943811, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xfa0f003dc12b321e4a5fe10577a0144103306f98f92716df6aa8839e6ccb111a","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00305409951984095, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x64d991c3afdd60b87de730eb94ea921a6a3d5c8212228e003205839844e3220e","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00306251232070596, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x8028d9d3a574b616259565d6531074c7abef9911b8ed798573dd44b52c738fb1","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00307095991277263, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x7913d4113a3be4bfa65805d933ff250e1ac8a5e191db4301a2fccc3a291c2634","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00307944248809643, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xd3771c927221fb2c28a75da121012b440bdcc91fc579c5fa2553cf125aea8205","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00308796024005971, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x4063bcb3e22cdd6f6ba5911f93ea29b7da8aab9efe1c159c2d90df4a4b3fbd0f","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00309651336338267, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x8c517fe215f6252e6c8a632aae5ed0bb279f5d3ccce56160183cb82d032a647b","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00310510205413453, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xfc6c55eeae423bac480da6847f8e6dff879c134ea9686450cee5ab722163a11c","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00311372650974476, ETH, 415799.999999998, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xd6358f5410a0a53c27330b30eb00ae930db82102d0cbff9c5bf46bb845ce5832","16643907",1676582063,2023-02-16 21:14:23,Buy,0.00312238692901439, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x55e5b74c91fe0960abd1e0510219ad28d141288c493c8a912e44fc3f6a5fcd25","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00314691916558277, ETH, 417900, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x2100a06addf236d71f77706d8640edb26d6df621a4919c7afcf7493e3aaa62ac","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00313986065905626, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xe1193fd641725d198bf6ebcaf6feaaa0b05a7c5f371b992bf39f22ed7d1a134c","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00314863036120472, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x9395b6c185e2c40bb42a090d8b4988352b4a6d54c61cc2a7a35f9be4eafa06d7","16643908",1676582075,2023-02-16 21:14:35,Buy,0.0031086931386853, ETH, 409389.79921875, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x324e3edae66f464f87f4e000aef2c7fa67b562c0489f00c6439d77d56d6293ca","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00311726547093079, ETH, 409389.79921875, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x46ef5cda1cad4783cc8aafc1dba5df7082bb554d82709e7ee678523d427ffb9f","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00312587329204621, ETH, 409389.79921875, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x396522224cbbc6b412657c59683b75d10d6a0f6d5bb7569422b67b6a75e6d536","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00318366569041293, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x14a6fce08f5ae1399d71612f0bee94b9184025b6b3444c7eba453a0c85869cf3","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00319261959075707, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf9a266da4d0aca4a6fda32109d6760cc6bbb0b065a5564c50d63fdb65c52a739","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00320161129886696, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6d73e1fe760d5a3056c19340afb09c01cd0da56ae570f333a8011235c42fc42b","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00321064102784622, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xb492ddfc48fef9b02dc953d92026bf18dece7f9b337ae52ebf78d1590d20a177","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00321970899230178, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xdc2a5b64a001fb9059183b5261d1ca7bdcfb24ce219f6c4d8c1f58a5824ccc4a","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00322881540835667, ETH, 415800, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x4738ed49e6230d7e0662b19c3b340efb66969344516a488c97a56e44880388ed","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00313970594327295, ETH, 403200, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xf09a3442c511b60c91a70a5cf57ccbbde9da3c0ff1cc7ee58c4d283f82375779","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00314834063489443, ETH, 403200, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xc7e34f57efa4139dec71a8434e4e215c5beb52d34fb2e38d95648d7c3de1e7e7","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00315701097779548, ETH, 403200, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xa8e2b5b243e6da9446eaca3c4ac633fe6584299bb3999d0e75abdc6f9546e8cb","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00316571716846175, ETH, 403200, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x4ba3a7b3dfa6842cfd53cd67c0258469e097702673b6fe593c89703c7362c18d","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00317445940473421, ETH, 403200, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0x6aa641afd6b191a9a60302df7131afcce58a8182c82048d31d11778aa30b56ff","16643908",1676582075,2023-02-16 21:14:35,Buy,0.0031832378858203, ETH, 403200, DOPE,0.00000001,ETH per DOPE,Uniswap V2
"0xb872cd9ef164aba1ed5bc595e1a8f84064cb8331d9a9ef468583c5b88cd836d5","16643908",1676582075,2023-02-16 21:14:35,Buy,0.00319205281230534, ETH, 403200, DOPE,0.00000001,ETH per DOPE,Uniswap V2
